-83-42i	218-42i	72-180i	-42-171i	284-20i	557-2441i	-1481+2533i	2598-297i
6-145i	211-56i	151+147i	-76+50i	1449-773i	-1319-969i	2833+2878i	-368+1296i
-130-250i	160-75i	17+232i	173+116i	-830-31i	-1120+570i	988-1229i	648+2015i
-148-55i	-164-79i	-225-187i	-39+58i	-90-207i	-815+1607i	3200+1631i	-772-1584i
16-69i	139-144i	40-40i	-63-236i	632+117i	1061+1633i	2012-2320i	-2618+1023i
-21-24i	117+85i	99-115i	37-16i	1103-157i	-732+1327i	1318+148i	-5949-813i
43+15i	-219+55i	172-141i	251+44i	-323+757i	-255+433i	-680+2048i	2472-2062i
-42+81i	28-382i	205+87i	-382+180i	-163-825i	1856+1540i	-933-1095i	2296+4733i
-74+109i	-182-139i	181-360i	106+214i	650-995i	53+1259i	1201-805i	-3167+3032i
-73-144i	102+18i	-49-154i	101-173i	1133-844i	3911+124i	-723-1473i	550+1621i
-165+62i	-192+29i	-8+22i	23+25i	-986+81i	-389-1421i	-1304+430i	1632+1423i
-128+41i	-116-174i	-85+222i	-34-157i	-210-377i	252+1538i	2348+2608i	-1980-967i
-125+158i	-150+88i	-59-21i	33-44i	134-344i	1434+583i	2382-1446i	-2249+2189i
-21-29i	92+111i	-135+106i	-184-120i	1397-297i	195+1075i	1390+433i	-5817+1601i
-35+14i	-232+3i	150-59i	-218-19i	117+909i	412+66i	-1569+1652i	1578-2860i
109-48i	-17+162i	-116+156i	34-101i	-224-905i	1956+408i	-827-1398i	3363+3397i
-128-99i	-79-83i	262-5i	0+3i	640-889i	572+896i	1931-522i	-2086+4211i
-119+53i	87+96i	-62-37i	-68+278i	799-1359i	2341-2824i	-77-1573i	1276+1528i
40-62i	-113-79i	-125+146i	-204+140i	-650+309i	-1041-1042i	-1893-196i	2691+348i
-63+198i	79-24i	-147+105i	149+70i	-37+1221i	1698-292i	-735+1239i	3430-3176i
118+11i	-27+41i	-52-260i	-23+26i	578+879i	423-502i	1662+286i	-2054-4198i
167+54i	246+322i	133-131i	8-30i	855+1110i	2278+2558i	34+1644i	999-1800i
65+2i	-10-154i	-64+115i	-52+49i	-973-517i	-951+492i	-1809+255i	2354-508i
44+144i	152+49i	-67+50i	32+223i	76+106i	123-1616i	2401-2667i	-1787+1073i
-20+176i	-107-78i	-49+47i	-160-149i	352+148i	1556-543i	2580+1241i	-2719-1981i
153-2i	41+95i	-36-40i	-236-43i	1335+220i	268-1059i	917-523i	-5708-1685i
-62-16i	-107-79i	102-145i	-342-143i	-163-833i	158-38i	-1617-1721i	1438+2990i
-190+14i	-102+161i	10-7i	-128-77i	-171+1192i	1775-1447i	-1178+808i	2484-4347i
-96-72i	30-14i	-281-63i	-122-74i	952+941i	239-1439i	1089+763i	-2962-3300i
-100-93i	-32-37i	-79-72i	348-65i	950+994i	3847+4i	-579+1540i	267-1448i
-185-170i	-130-17i	76-184i	-89-8i	-740-121i	-162+1576i	-1397-241i	1674-1129i
-281+162i	-5+110i	48+154i	-24-278i	-172+436i	-919-1396i	3246-1645i	-778+1455i
265+446i	-84+90i	-12+21i	213+228i	461+329i	1146-1931i	1955+2590i	-2500-773i
-151-127i	161-208i	254-15i	-197+47i	1263-38i	-618-1006i	1541-406i	-5711+454i
-18+238i	199+77i	290-55i	-150-34i	-38-644i	-452-247i	-596-2273i	2475+2532i
27-191i	-2-74i	169+193i	-105+22i	231+850i	-1501+387i	202-2719i	902-5033i
105+101i	116-35i	11-188i	166+19i	836+978i	1114+1020i	-1022-1270i	-3872-1684i
175+29i	243+68i	61+54i	-44+353i	1129+1003i	-1367+813i	2738-3077i	-250-1676i
-184-199i	20+239i	-147+249i	315-19i	-993-272i	-1379-229i	1217+1298i	649-1837i
126+101i	25-248i	190+197i	157-184i	-159+24i	3374-41i	-1689-941i	320+1454i
56-125i	-64-42i	153-203i	261+185i	859-258i	765+2753i	-438-2590i	-2398+399i
-106-181i	-85+353i	104+210i	-30-265i	1174+474i	1178+526i	-1307-809i	-4794+2553i
-62-227i	-51-120i	-187+130i	214+276i	-208-720i	322-1660i	-451+71i	2991+1419i
154+267i	112-77i	-105-23i	28+80i	284+802i	-1947-119i	-1640-2310i	-1281-5231i
-36+113i	-53-144i	33-32i	-145-6i	1202+1022i	366+1247i	-1914-968i	-3590-746i
-168+340i	45+57i	-255-148i	168+80i	1435+665i	-1902+229i	127-4225i	-868-634i
-148+124i	183+214i	39+270i	-157-53i	-1054-246i	-896-980i	1661+222i	-619-1986i
-461-130i	273-193i	-109-3i	77+113i	34+109i	3428+532i	-1876+587i	1399+641i
192-62i	307+82i	-111-79i	-311+246i	874+8i	-309+2579i	-2210-1731i	-1682+619i
346+8i	-25+31i	-50+81i	113-55i	1326+356i	1097+642i	-2002+409i	-3289+4042i
178+107i	38+189i	4-269i	83+112i	-601-814i	1002-1534i	19+652i	2819+13i
-197+124i	357+242i	-7+78i	44+103i	448+567i	-1741-472i	-3090-655i	-2850-4318i
-98-42i	226+194i	-15+52i	-199+268i	1003+943i	259+1332i	-2046+691i	-3069+620i
65+111i	-108-29i	223-158i	-36-82i	1402+768i	-1798-569i	-3360-2938i	-466-395i
-251-78i	45-37i	-128-180i	85+5i	-1052+182i	-855-813i	1573-1275i	-1371-817i
-74-64i	128+84i	38+56i	-219+76i	160+314i	2853+1794i	-1585+1574i	1701-588i
110-325i	-179+36i	86+140i	-117+258i	1024-67i	-1159+1909i	-2859+147i	-511+863i
61-141i	127+59i	-144+1i	34-21i	1553+328i	783+969i	-1541+2142i	-1466+4372i
-115+137i	-109+144i	-181-40i	-0-10i	-689-418i	1444-867i	691+273i	2670-495i
-78+82i	289-191i	105-43i	-67-385i	468+543i	-1734-1391i	-4052-2963i	-2510+1576i
86-75i	-228+86i	-206+109i	281-28i	1207+906i	85+906i	-2622+936i	-1803+2086i
-58-68i	-86+96i	-39+243i	-35-85i	1817+364i	-1419-1043i	-191+618i	-4298+53i
28-36i	122-76i	-132+71i	203-11i	-1224-123i	-427-781i	-1797-12i	123-2022i
-152-193i	143-75i	-175-171i	61+248i	16-99i	2031+2244i	1149-1616i	-212+2513i
64+57i	-76+107i	-123+105i	-168+154i	1421-416i	-1874+828i	29+200i	-2064+2184i
71+134i	141-110i	-20-10i	99+12i	1756-149i	800+1148i	447+3798i	229+2959i
-197+218i	161-26i	198+33i	-146-262i	-1001-488i	1480+124i	2382-1105i	946-355i
182-8i	-234-156i	-141-213i	-127+170i	324+662i	-1160-2102i	-4357-918i	-1090+2934i
-66-87i	89-142i	192+93i	-78+17i	1618+754i	-302+1165i	-1829+1690i	439+2948i
-174-80i	268-95i	47+201i	-8-157i	1576+460i	-1138-1388i	647+306i	-2922+2763i
-182+320i	302+76i	-47-106i	-159-72i	-1435+102i	-199-736i	-1543+883i	-957-1769i
-219+121i	54+48i	-68-73i	277-146i	134-61i	1120+2632i	50-2165i	1686+2165i
96-218i	157+154i	255-215i	55-259i	1260-238i	-1584+102i	421-108i	163+3194i
-28-100i	-330+90i	-45+324i	13-82i	1613+87i	864+1088i	1775+3175i	2891+1919i
144-18i	101+120i	138-127i	37+152i	-980-712i	1064+529i	1694-1740i	889-1315i
-31-251i	-116-298i	51+61i	22+44i	125+557i	-613-2242i	-3911+735i	763+2760i
143-39i	-174+246i	-288+181i	-25-55i	1302+685i	-339+779i	-914+1633i	2487+2118i
362-81i	-124-113i	-208+152i	76+37i	1902+173i	-382-1546i	1307+450i	122+4025i
97+155i	196-104i	-78+0i	66+135i	-1299+323i	-64-963i	-1346+1844i	-1843-705i
109-63i	141-274i	-96+50i	27-52i	140-344i	269+2377i	-1470-2778i	2612+430i
-28-137i	131+190i	-75-217i	138+140i	1365-580i	-1140-266i	305-824i	2436+2137i
-109+6i	-71-11i	40+40i	6+7i	1658-315i	181+1264i	2452+1810i	3528-410i
-23-74i	27+103i	74-48i	74+39i	-1295-337i	677+743i	549-2184i	-107-1281i
